1.1646,0.0933,-0.1874,0.0420,-0.0357,-0.3467
1.1280,0.0908,-0.1819,0.0406,-0.0304,-0.3378
1.0925,0.0883,-0.1765,0.0394,-0.0257,-0.3289
1.0583,0.0859,-0.1714,0.0382,-0.0216,-0.3202
1.0262,0.0834,-0.1664,0.0371,-0.0181,-0.3116
0.9944,0.0811,-0.1615,0.0359,-0.0150,-0.3031
0.9638,0.0789,-0.1568,0.0347,-0.0124,-0.2949
0.9351,0.0766,-0.1523,0.0334,-0.0105,-0.2874
0.9088,0.0743,-0.1480,0.0321,-0.0098,-0.2817
0.8840,0.0720,-0.1438,0.0310,-0.0096,-0.2770
0.8600,0.0697,-0.1398,0.0299,-0.0096,-0.2723
0.8367,0.0676,-0.1358,0.0288,-0.0097,-0.2678
0.8141,0.0655,-0.1320,0.0278,-0.0098,-0.2633
0.7922,0.0634,-0.1283,0.0268,-0.0100,-0.2589
0.7709,0.0615,-0.1246,0.0258,-0.0102,-0.2545
0.7501,0.0596,-0.1211,0.0249,-0.0105,-0.2501
0.7300,0.0577,-0.1177,0.0240,-0.0109,-0.2458
0.7104,0.0559,-0.1144,0.0231,-0.0112,-0.2415
0.6913,0.0542,-0.1111,0.0223,-0.0116,-0.2372
0.6727,0.0525,-0.1080,0.0215,-0.0119,-0.2329
0.6547,0.0509,-0.1049,0.0208,-0.0123,-0.2286
0.6371,0.0493,-0.1019,0.0200,-0.0127,-0.2244
0.6200,0.0478,-0.0990,0.0194,-0.0131,-0.2201
0.6033,0.0463,-0.0962,0.0187,-0.0134,-0.2159
0.5871,0.0449,-0.0935,0.0180,-0.0138,-0.2116
0.5713,0.0435,-0.0908,0.0174,-0.0142,-0.2073
0.5559,0.0422,-0.0882,0.0168,-0.0145,-0.2031
0.5409,0.0409,-0.0857,0.0163,-0.0149,-0.1988
0.5263,0.0397,-0.0833,0.0157,-0.0152,-0.1945
0.5121,0.0385,-0.0809,0.0152,-0.0154,-0.1903
0.4982,0.0373,-0.0786,0.0147,-0.0157,-0.1860
0.4847,0.0362,-0.0763,0.0142,-0.0159,-0.1817
0.4716,0.0351,-0.0741,0.0138,-0.0160,-0.1775
0.4588,0.0340,-0.0720,0.0133,-0.0162,-0.1732
0.4463,0.0330,-0.0699,0.0129,-0.0163,-0.1690
0.4341,0.0320,-0.0679,0.0125,-0.0163,-0.1647
0.4223,0.0310,-0.0660,0.0121,-0.0163,-0.1605
0.4107,0.0301,-0.0641,0.0117,-0.0163,-0.1563
0.3994,0.0292,-0.0622,0.0114,-0.0162,-0.1521
0.3885,0.0283,-0.0604,0.0110,-0.0160,-0.1480
0.3778,0.0274,-0.0587,0.0107,-0.0157,-0.1438
0.3673,0.0266,-0.0570,0.0104,-0.0154,-0.1397
0.3571,0.0258,-0.0554,0.0101,-0.0151,-0.1357
0.3472,0.0250,-0.0538,0.0098,-0.0147,-0.1318
0.3376,0.0243,-0.0522,0.0095,-0.0144,-0.1280
0.3281,0.0236,-0.0507,0.0092,-0.0140,-0.1243
0.3189,0.0229,-0.0492,0.0089,-0.0137,-0.1207
0.3100,0.0222,-0.0478,0.0086,-0.0133,-0.1171
0.3013,0.0215,-0.0464,0.0084,-0.0130,-0.1137
0.2928,0.0209,-0.0451,0.0081,-0.0127,-0.1104
0.2845,0.0203,-0.0438,0.0079,-0.0124,-0.1072
0.2764,0.0197,-0.0425,0.0077,-0.0120,-0.1041
0.2686,0.0191,-0.0413,0.0074,-0.0117,-0.1011
0.2609,0.0185,-0.0401,0.0072,-0.0114,-0.0981
0.2535,0.0180,-0.0389,0.0070,-0.0111,-0.0953
0.2462,0.0175,-0.0378,0.0068,-0.0108,-0.0925
0.2392,0.0169,-0.0367,0.0066,-0.0105,-0.0898
0.2323,0.0164,-0.0356,0.0064,-0.0102,-0.0872
0.2256,0.0160,-0.0346,0.0062,-0.0099,-0.0847
0.2191,0.0155,-0.0336,0.0060,-0.0097,-0.0822
0.2128,0.0150,-0.0326,0.0059,-0.0094,-0.0798
0.2066,0.0146,-0.0317,0.0057,-0.0091,-0.0775
0.2006,0.0142,-0.0307,0.0055,-0.0089,-0.0752
0.1948,0.0137,-0.0299,0.0053,-0.0086,-0.0730
0.1891,0.0133,-0.0290,0.0052,-0.0084,-0.0709
0.1836,0.0130,-0.0281,0.0050,-0.0081,-0.0688
0.1782,0.0126,-0.0273,0.0049,-0.0079,-0.0668
0.1730,0.0122,-0.0265,0.0047,-0.0076,-0.0649
0.1679,0.0118,-0.0258,0.0046,-0.0074,-0.0630
0.1630,0.0115,-0.0250,0.0045,-0.0072,-0.0611
0.1582,0.0112,-0.0243,0.0043,-0.0070,-0.0594
0.1536,0.0108,-0.0236,0.0042,-0.0068,-0.0576
0.1490,0.0105,-0.0229,0.0041,-0.0065,-0.0559
0.1446,0.0102,-0.0222,0.0040,-0.0063,-0.0543
0.1404,0.0099,-0.0216,0.0038,-0.0061,-0.0527
0.1362,0.0096,-0.0210,0.0037,-0.0060,-0.0512
0.1322,0.0093,-0.0203,0.0036,-0.0058,-0.0497
0.1282,0.0091,-0.0198,0.0035,-0.0056,-0.0482
0.1244,0.0088,-0.0192,0.0034,-0.0054,-0.0468
0.1207,0.0085,-0.0186,0.0033,-0.0052,-0.0454
0.1171,0.0083,-0.0181,0.0032,-0.0051,-0.0441
0.1136,0.0080,-0.0175,0.0031,-0.0049,-0.0428
0.1102,0.0078,-0.0170,0.0030,-0.0047,-0.0416
0.1069,0.0076,-0.0165,0.0029,-0.0046,-0.0403
0.1037,0.0074,-0.0161,0.0028,-0.0044,-0.0392
0.1006,0.0071,-0.0156,0.0028,-0.0043,-0.0380
0.0976,0.0069,-0.0151,0.0027,-0.0042,-0.0369
0.0947,0.0067,-0.0147,0.0026,-0.0040,-0.0358
0.0919,0.0065,-0.0143,0.0025,-0.0039,-0.0348
0.0891,0.0063,-0.0138,0.0024,-0.0038,-0.0338
0.0864,0.0061,-0.0134,0.0023,-0.0036,-0.0328
0.0838,0.0060,-0.0131,0.0023,-0.0035,-0.0318
0.0813,0.0058,-0.0127,0.0022,-0.0034,-0.0309
0.0789,0.0056,-0.0123,0.0021,-0.0033,-0.0300
0.0766,0.0055,-0.0119,0.0020,-0.0032,-0.0291
0.0743,0.0053,-0.0116,0.0019,-0.0031,-0.0283
0.0721,0.0051,-0.0112,0.0019,-0.0030,-0.0275
0.0699,0.0050,-0.0109,0.0018,-0.0029,-0.0267
0.0679,0.0048,-0.0106,0.0017,-0.0028,-0.0259
0.0659,0.0047,-0.0103,0.0016,-0.0027,-0.0251
0.0639,0.0045,-0.0100,0.0016,-0.0027,-0.0244
0.0620,0.0044,-0.0097,0.0015,-0.0026,-0.0237
0.0602,0.0043,-0.0094,0.0014,-0.0025,-0.0230
0.0584,0.0042,-0.0091,0.0014,-0.0024,-0.0224
0.0567,0.0040,-0.0089,0.0013,-0.0024,-0.0217
0.0551,0.0039,-0.0086,0.0012,-0.0023,-0.0211
0.0534,0.0038,-0.0083,0.0012,-0.0022,-0.0205
0.0518,0.0037,-0.0081,0.0011,-0.0022,-0.0199
0.0503,0.0036,-0.0078,0.0011,-0.0021,-0.0193
0.0488,0.0035,-0.0076,0.0010,-0.0020,-0.0187
0.0474,0.0034,-0.0074,0.0010,-0.0020,-0.0182
0.0460,0.0033,-0.0072,0.0009,-0.0019,-0.0176
0.0446,0.0032,-0.0070,0.0009,-0.0019,-0.0171
0.0433,0.0031,-0.0067,0.0008,-0.0018,-0.0166
0.0420,0.0030,-0.0065,0.0008,-0.0018,-0.0161
0.0407,0.0029,-0.0064,0.0007,-0.0017,-0.0157
0.0395,0.0028,-0.0062,0.0007,-0.0017,-0.0152
0.0383,0.0027,-0.0060,0.0007,-0.0016,-0.0147
0.0372,0.0026,-0.0058,0.0006,-0.0016,-0.0143
0.0361,0.0026,-0.0056,0.0006,-0.0015,-0.0139
0.0350,0.0025,-0.0055,0.0005,-0.0015,-0.0135
0.0339,0.0024,-0.0053,0.0005,-0.0014,-0.0131
0.0329,0.0023,-0.0051,0.0005,-0.0014,-0.0127
0.0319,0.0023,-0.0050,0.0004,-0.0013,-0.0123
0.0309,0.0022,-0.0048,0.0004,-0.0013,-0.0119
0.0300,0.0021,-0.0047,0.0004,-0.0012,-0.0116
0.0291,0.0021,-0.0045,0.0003,-0.0012,-0.0112
0.0282,0.0020,-0.0044,0.0003,-0.0012,-0.0109
0.0273,0.0019,-0.0043,0.0003,-0.0011,-0.0106
0.0265,0.0019,-0.0041,0.0003,-0.0011,-0.0102
0.0256,0.0018,-0.0040,0.0002,-0.0010,-0.0099
0.0248,0.0018,-0.0039,0.0002,-0.0010,-0.0096
0.0241,0.0017,-0.0038,0.0002,-0.0010,-0.0093
0.0233,0.0017,-0.0037,0.0002,-0.0009,-0.0090
0.0226,0.0016,-0.0036,0.0001,-0.0009,-0.0088
0.0219,0.0016,-0.0034,0.0001,-0.0009,-0.0085
0.0212,0.0015,-0.0033,0.0001,-0.0008,-0.0082
0.0205,0.0015,-0.0032,0.0001,-0.0008,-0.0080
0.0199,0.0014,-0.0031,0.0001,-0.0008,-0.0077
0.0192,0.0014,-0.0030,0.0000,-0.0007,-0.0075
0.0186,0.0013,-0.0030,0.0000,-0.0007,-0.0073
0.0180,0.0013,-0.0029,-0.0000,-0.0007,-0.0070
0.0174,0.0012,-0.0028,-0.0000,-0.0006,-0.0068
0.0168,0.0012,-0.0027,-0.0000,-0.0006,-0.0066
0.0163,0.0012,-0.0026,-0.0001,-0.0006,-0.0064
0.0158,0.0011,-0.0025,-0.0001,-0.0006,-0.0062
0.0152,0.0011,-0.0025,-0.0001,-0.0005,-0.0060
0.0147,0.0011,-0.0024,-0.0001,-0.0005,-0.0058
0.0142,0.0010,-0.0023,-0.0001,-0.0005,-0.0056
0.0138,0.0010,-0.0022,-0.0001,-0.0005,-0.0054
0.0133,0.0010,-0.0022,-0.0002,-0.0004,-0.0052
0.0128,0.0009,-0.0021,-0.0002,-0.0004,-0.0051
0.0124,0.0009,-0.0020,-0.0002,-0.0004,-0.0049
0.0120,0.0009,-0.0020,-0.0002,-0.0004,-0.0047
0.0116,0.0008,-0.0019,-0.0002,-0.0003,-0.0046
0.0112,0.0008,-0.0018,-0.0002,-0.0003,-0.0044
0.0108,0.0008,-0.0018,-0.0002,-0.0003,-0.0043
0.0104,0.0008,-0.0017,-0.0002,-0.0003,-0.0041
0.0100,0.0007,-0.0017,-0.0003,-0.0003,-0.0040
0.0097,0.0007,-0.0016,-0.0003,-0.0002,-0.0039
0.0093,0.0007,-0.0016,-0.0003,-0.0002,-0.0037
0.0090,0.0007,-0.0015,-0.0003,-0.0002,-0.0036
0.0086,0.0006,-0.0015,-0.0003,-0.0002,-0.0035
0.0083,0.0006,-0.0014,-0.0003,-0.0002,-0.0033
0.0080,0.0006,-0.0014,-0.0003,-0.0001,-0.0032
0.0077,0.0006,-0.0013,-0.0003,-0.0001,-0.0031
0.0074,0.0006,-0.0013,-0.0003,-0.0001,-0.0030
0.0071,0.0005,-0.0013,-0.0004,-0.0001,-0.0029
0.0068,0.0005,-0.0012,-0.0004,-0.0001,-0.0028
0.0066,0.0005,-0.0012,-0.0004,-0.0001,-0.0027
0.0063,0.0005,-0.0011,-0.0004,-0.0000,-0.0026
0.0061,0.0005,-0.0011,-0.0004,-0.0000,-0.0025
0.0058,0.0005,-0.0011,-0.0004,-0.0000,-0.0024
0.0056,0.0004,-0.0010,-0.0004,-0.0000,-0.0023
0.0053,0.0004,-0.0010,-0.0004,0.0000,-0.0022
0.0051,0.0004,-0.0010,-0.0004,0.0000,-0.0021
0.0049,0.0004,-0.0009,-0.0004,0.0000,-0.0020
0.0047,0.0004,-0.0009,-0.0004,0.0001,-0.0020
0.0045,0.0004,-0.0009,-0.0004,0.0001,-0.0019
0.0043,0.0003,-0.0009,-0.0005,0.0001,-0.0018
0.0041,0.0003,-0.0008,-0.0005,0.0001,-0.0017
0.0039,0.0003,-0.0008,-0.0005,0.0001,-0.0017
0.0037,0.0003,-0.0008,-0.0005,0.0001,-0.0016
0.0035,0.0003,-0.0007,-0.0005,0.0001,-0.0015
0.0034,0.0003,-0.0007,-0.0005,0.0001,-0.0015
0.0032,0.0003,-0.0007,-0.0005,0.0001,-0.0014
0.0030,0.0003,-0.0007,-0.0005,0.0001,-0.0013
0.0029,0.0003,-0.0006,-0.0005,0.0002,-0.0013
0.0027,0.0002,-0.0006,-0.0005,0.0002,-0.0012
0.0026,0.0002,-0.0006,-0.0005,0.0002,-0.0012
0.0024,0.0002,-0.0006,-0.0005,0.0002,-0.0011
0.0023,0.0002,-0.0006,-0.0005,0.0002,-0.0011
0.0022,0.0002,-0.0005,-0.0005,0.0002,-0.0010
0.0020,0.0002,-0.0005,-0.0005,0.0002,-0.0010
0.0019,0.0002,-0.0005,-0.0006,0.0002,-0.0009
0.0018,0.0002,-0.0005,-0.0006,0.0002,-0.0009
0.0017,0.0002,-0.0005,-0.0006,0.0002,-0.0008
0.0016,0.0002,-0.0005,-0.0006,0.0002,-0.0008
0.0014,0.0002,-0.0004,-0.0006,0.0002,-0.0007
0.0013,0.0001,-0.0004,-0.0006,0.0003,-0.0007
0.0012,0.0001,-0.0004,-0.0006,0.0003,-0.0007
0.0011,0.0001,-0.0004,-0.0006,0.0003,-0.0006
0.0010,0.0001,-0.0004,-0.0006,0.0003,-0.0006
0.0009,0.0001,-0.0004,-0.0006,0.0003,-0.0006
0.0008,0.0001,-0.0003,-0.0006,0.0003,-0.0005
0.0008,0.0001,-0.0003,-0.0006,0.0003,-0.0005
0.0007,0.0001,-0.0003,-0.0006,0.0003,-0.0005
0.0006,0.0001,-0.0003,-0.0006,0.0003,-0.0005
0.0005,0.0001,-0.0003,-0.0006,0.0003,-0.0004
0.0004,0.0001,-0.0003,-0.0006,0.0003,-0.0004
0.0004,0.0001,-0.0003,-0.0006,0.0003,-0.0004
0.0003,0.0001,-0.0003,-0.0007,0.0003,-0.0004
0.0002,0.0001,-0.0003,-0.0007,0.0003,-0.0003
0.0001,0.0001,-0.0002,-0.0007,0.0003,-0.0003
0.0001,0.0001,-0.0002,-0.0007,0.0003,-0.0003
0.0000,0.0001,-0.0002,-0.0007,0.0003,-0.0003
-0.0001,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0001,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0002,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0002,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0003,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0003,0.0000,-0.0002,-0.0007,0.0003,-0.0002
-0.0004,0.0000,-0.0002,-0.0007,0.0003,-0.0001
-0.0004,0.0000,-0.0001,-0.0007,0.0003,-0.0001
-0.0005,0.0000,-0.0001,-0.0007,0.0003,-0.0001
-0.0005,0.0000,-0.0001,-0.0007,0.0003,-0.0001
-0.0006,0.0000,-0.0001,-0.0007,0.0004,-0.0001
-0.0006,0.0000,-0.0001,-0.0007,0.0004,-0.0001
-0.0007,0.0000,-0.0001,-0.0008,0.0004,-0.0000
-0.0007,-0.0000,-0.0001,-0.0008,0.0004,-0.0000
-0.0007,-0.0000,-0.0001,-0.0008,0.0004,-0.0000
-0.0008,-0.0000,-0.0001,-0.0008,0.0004,0.0000
-0.0008,-0.0000,-0.0001,-0.0008,0.0004,0.0000
-0.0008,-0.0000,-0.0001,-0.0008,0.0004,0.0000
-0.0009,-0.0000,-0.0001,-0.0008,0.0004,0.0000
-0.0009,-0.0000,-0.0001,-0.0008,0.0004,0.0001
-0.0009,-0.0000,-0.0001,-0.0008,0.0004,0.0001
-0.0010,-0.0000,-0.0001,-0.0008,0.0004,0.0001
-0.0010,-0.0000,-0.0000,-0.0008,0.0004,0.0001
-0.0010,-0.0000,-0.0000,-0.0008,0.0004,0.0001
-0.0011,-0.0000,-0.0000,-0.0008,0.0004,0.0001
-0.0011,-0.0000,-0.0000,-0.0008,0.0004,0.0001
-0.0011,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0011,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0012,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0012,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0012,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0012,-0.0000,-0.0000,-0.0008,0.0004,0.0002
-0.0012,-0.0000,-0.0000,-0.0009,0.0004,0.0002
